GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
100133941	4.50e-04	2.32e-06	0.6678	4.7231297	3.1543165	3469.06	CD24	CD24 molecule
83540	4.53e-04	2.39e-06	0.4405	4.7174053	2.0779613	93.2	NUF2	NUF2 component of NDC80 kinetochore complex
90576	4.53e-04	2.38e-06	0.2976	4.7183671	1.4042171	242	ZNF799	zinc finger protein 799
671	4.82e-04	2.57e-06	0.6647	4.7023819	3.1254892	3125.55	BPI	bactericidal permeability increasing protein
7704	4.84e-04	2.61e-06	0.6177	4.6993438	2.9027783	2222.24	ZBTB16	zinc finger and BTB domain containing 16
6947	5.05e-04	2.75e-06	0.6136	4.6885872	2.8768918	1852.77	TCN1	transcobalamin 1
55365	5.06e-04	2.79e-06	0.8236	-4.6857852	-3.8591458	940.83	TMEM176A	transmembrane protein 176A
8707	5.14e-04	2.86e-06	0.6662	-4.6807524	-3.1184013	10.25	B3GALT2	beta-1,3-galactosyltransferase 2
3113	5.76e-04	3.24e-06	0.3629	-4.6549876	-1.6894052	5627.62	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
641	6.18e-04	3.53e-06	0.3455	4.6372601	1.6021741	244.2	BLM	BLM RecQ like helicase
10615	6.18e-04	3.55e-06	0.4154	4.6363709	1.9258922	227.92	SPAG5	sperm associated antigen 5
2731	6.20e-04	3.60e-06	0.8703	4.6334889	4.0323923	127.66	GLDC	glycine decarboxylase
701	6.47e-04	3.79e-06	0.5879	4.6226447	2.7175595	101.66	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
58155	6.55e-04	3.89e-06	0.2914	4.6172899	1.3456085	599.89	PTBP2	polypyrimidine tract binding protein 2
79929	6.55e-04	3.91e-06	0.3042	-4.6161952	-1.4042904	35.4	MAP6D1	MAP6 domain containing 1
23078	7.35e-04	4.43e-06	0.5058	4.5903342	2.3216725	741.56	VWA8	von Willebrand factor A domain containing 8
5318	7.35e-04	4.47e-06	0.4423	4.5882952	2.0291831	57.16	PKP2	plakophilin 2
112268252	7.46e-04	4.58e-06	0.6723	4.5831288	3.0812336	592.89	LOC112268252	uncharacterized LOC112268252
10205	7.77e-04	4.81e-06	0.4216	-4.5727802	-1.9279503	189	MPZL2	myelin protein zero like 2
